code,source,name,latitude,longitude,timezone,is_visible,is_major,iata_type,default_language,is_deleted,cities_id,is_active,is_military
AKA,OAG,Ankang,32.70778,108.93222,800,t,f,9,en-us,f,ebb677e9-148e-4b9f-b514-75c05c06e577,f,f
AKB,OAG,Atka Airport,52.21833,-174.20639,-1000,t,t,2,en-us,f,6f009d06-4dff-40f8-a071-8976c2f98481,t,f
AKC,OAG,Akron/Canton Akron Fulton Intl,41.04,-81.46778,-500,t,NULL,3,en-us,f,NULL,f,f
AKD,OAG,Akola,20.66667,77.08333,530,t,NULL,3,en-us,f,NULL,f,f
AKE,OAG,Akieni,-1.17222,13.91667,100,t,NULL,3,en-us,f,NULL,f,f
AKF,OAG,Kufra Airport,24.17861,23.31389,200,t,t,2,en-us,f,dbf2151e-ce61-43f0-9c7f-852f424ad840,t,f
AKG,OAG,Anguganak,-3.58333,142.25,1000,t,f,9,en-us,f,34e90ca0-e90b-487b-b684-26624df29822,f,f
AKH,OAG,Al Kharj Airport,24.06333,47.58056,300,t,NULL,3,en-us,f,NULL,t,f
AKI,OAG,Akiak Airport,60.90167,-161.23222,-900,t,t,2,en-us,f,2a7513af-2140-4c74-b4a6-1b9cc550a00f,t,f
AKJ,OAG,Asahikawa Airport,43.67083,142.4475,900,t,t,2,en-us,f,06b8b636-b194-49b9-9e6a-fbc9e557c588,t,f
